Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Operating Status,Full Description,Last Funding Type,Headquarters Location,Headquarters Regions,Description,Founded Date,Founded Date Precision,Industry Groups,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Top 5 Investors,IPO Status,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Website,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Investment Stage,Investor Type,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Acquisition Status,Number of Acquisitions,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (Company),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags
Bach,https://www.crunchbase.com/organization/the-bach,17000000,USD,17000000,Active,"Bach solves the myriad pain points behind coordinating group travel, allowing groups to discover, decide, and plan in one place, complete with a marketplace for bookable experiences and critical features including group chat, expense splitting, polling, and itinerary creation.",Series A,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",BACH is a group travel app for bachelor/ette parties to plan and book incredible experiences,2018-03-10,day,"Events, Internet Services, Media and Entertainment","Events, Internet",2023-03-09,9000000,USD,9000000,17000000,USD,17000000,"Alumni Ventures, Corazon Capital, Oversubscribed Ventures, Pritzker Group Venture Capital, Simon Tikhman",Private,,,,https://www.thebach.com,,$1M to $10M,,,,,For Profit,https://twitter.com/thebachparty,https://www.facebook.com/TheBachParty,https://www.linkedin.com/company/bachparty,info@thebach.com,844-777-2224,45,,,,,,,,,,,,,,,,,,,,3,"Anthony Menna, Greg Ramey, Mike Petrakis",11-50,3,Early Stage Venture,9000000,USD,9000000,Series A,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,405,404,,7.1,9.9,9.9,8,"Engineering, Management, Marketing, Medical & Science, Operations, Product, Sales",17,,"22,398","42,964.5",-34.5%,"1,033",6.17%,4.59,-25.99%,49.59%,6.9%,"1,186,108","297,564",33.49%,55,1,"96,718",23,,,,,,,,,
AiDash,https://www.crunchbase.com/organization/aidash,43000000,USD,43000000,Active,"AiDash is an AI-first vertical SaaS company on a mission to transform operations, maintenance, and sustainability in industries with geographically distributed assets by using satellites and AI at scale. With access to a continual, near real-time streams of critical data, utilities, energy, transportation, water and wastewater and other core industries can make more informed decisions and build optimized long-term plans, all while reducing costs, improving reliability, and achieving sustainability goals. AiDash was founded in 2019 and is headquartered in San Jose.",Convertible Note,"San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","AiDash is a SaaS company that enables satellite-powered operations and maintenance for utility, energy, and other core industries.",2019-01-29,day,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence, SaaS, Satellite Communication",2022-11-02,10000000,USD,10000000,33000000,USD,33000000,"Shell Ventures, SE Ventures, G2 Venture Partners, Benhamou Global Ventures, National Grid Partners (NGP)",Private,,,,https://www.aidash.com,,,,,,,For Profit,https://twitter.com/aidashinc,https://www.facebook.com/aidashinc,https://www.linkedin.com/company/aidash,info@aidash.com,408-703-1099,134,,,,,,,,,,,,,,,,,,,,3,"Abhishek Vinod Singh, Nitin Das, Rahul Saxena",251-500,3,Early Stage Venture,27000000,USD,27000000,Series B,4,6,Made Acquisitions,1,,,,,,,,,,,,,,,,,,,,,2022-09-12,,11,409,408,,-1.7,-1.8,-1.1,10,"Engineering, Finance, Human Resources, Management, Marketing, Operations, Pro Services, Product, Sales",29,,"5,162","6,267.83",6.98%,9,-43.75%,1.42,8.4%,68.54%,-10.74%,"2,860,022","-197,578",-6.46%,60,3,,18,0,1,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,
Monnai,https://www.crunchbase.com/organization/monnai,10650000,USD,10650000,Active,"Monnai provides a global infrastructure that delivers more than 500+ insights to financial organizations to make more accurate and informed decisions throughout the lifecycle of their customers. Through a single API, fintech firms get access to a global integrated platform that helps them navigate the four key pillars of onboarding, trust and fraud risk, credit underwriting and debt collections.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Monnai is the global consumer insight infrastructure for fintech.,2021-01-01,year,"Financial Services, Information Technology, Other, Privacy and Security","Financial Services, FinTech, Identity Management, Infrastructure, Lending, Real Time",2023-03-09,6500000,USD,6500000,10650000,USD,10650000,"500 Global, Tiger Global Management, Better Tomorrow Ventures, Commerce Ventures, Kearny Jackson",Private,,,,https://www.monnai.com,,,,,,,For Profit,https://twitter.com/monnai_corp,,https://www.linkedin.com/company/monnai,Pierre@monnai.com,310-819-6631,9,,,,,,,,,,,,,,,,,,,,2,"Pierre Demarche, Ravish Patel",11-50,3,Early Stage Venture,6500000,USD,6500000,Series A,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,424,423,,5.2,9.8,9.8,9,Management,2,,,,,,,,,,,,,,27,,,,,,,,,,,,
Growfin,https://www.crunchbase.com/organization/growfin-ai,8900000,USD,8900000,Active,"Growfin is an automation platform that streamlines accounts receivables for B2B enterprises across the globe so finance, sales, and customer success teams can collect cash faster to accelerate their cash inflows. Launched in 2021, Growfin’s collaboration-first approach to accounts receivables is a first in this category and aims to bring people, processes, and data together into one place for all stakeholders. Leading unicorns across the globe use Growfin to collaborate and collect payments.",Series A,"Marietta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US","Growfin is a finance CRM purpose-built for streamlining and automating your receivables process across teams, collaboratively.",2020-11-01,day,"Financial Services, Software","FinTech, SaaS, Software",2023-03-07,7500000,USD,7500000,8900000,USD,8900000,"3one4 Capital, SWC Global",Private,,,,https://www.growfin.ai,,,,,,,For Profit,https://twitter.com/growfinapp,https://www.facebook.com/Growfinai-109988501616804,https://www.linkedin.com/company/growfinapp/,vignesh@growfin.ai,,8,,,,,,,,,,,,,,,,,,,,2,"Aravind Gopalan, Raja Jayaraman",11-50,2,Early Stage Venture,7500000,USD,7500000,Series A,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,442,441,,2.3,9.9,9.9,4,Management,1,,"7,407","20,020",-24.2%,270,-13.18%,1.23,-16.93%,76.64%,15.18%,"2,300,716","347,854",17.81%,55,,,16,,,,,,,,,
Clare,https://www.crunchbase.com/organization/clare-inc,12255000,USD,12255000,Active,"Clare is a next generation paint brand that’s completely reinventing the paint shopping experience. We’ve pioneered an easier, faster, more inspiring way to shop for paint, and our mission is to help people everywhere create a beautiful home.",Series A,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Clare is a paint brand that is changing the paint shopping experience for consumers.,2018-01-01,year,"Commerce and Shopping, Consumer Goods, Real Estate, Sustainability","Consumer Goods, E-Commerce, Green Consumer Goods, Home Decor",2022-02-11,8000000,USD,8000000,10000000,USD,10000000,"First Round Capital, Brooklyn Bridge Ventures, Bullish, Pendulum Holdings, Able Partners",Private,,,,http://www.clare.com,"Black / African American Founded, Black / African American Led, Women Founded, Women Led",Less than $1M,,,,,For Profit,https://twitter.com/clarepaint,https://www.facebook.com/clarepaint,https://www.linkedin.com/company/clareinc,press@clare.com,,7,,,,,,,,,,,,,,,,,,,,1,Nicole Gibbons,1-10,3,Early Stage Venture,8000000,USD,8000000,Series A,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,443,442,,-0.2,1.7,5.9,10,Operations,1,,"37,571","80,542.5",-62.12%,242,-83.41%,3.18,20.13%,63.03%,-3.68%,"813,497","396,946",95.29%,62,,,20,1,3,Basic Electric Elements,Scientific and technological services,,,,,
Machina Labs,https://www.crunchbase.com/organization/machina-labs,16300000,USD,16300000,Active,Machina Labs is a mechanical and industrial engineering and manufacturing firm that utilizes AI and machine learning. The company’s manufacturing platform combines the latest advances in robotics and AI so great ideas can be turned to reality quickly and affordably. Machina Labs is introducing unseen flexibility and agility to the centuries-old manufacturing industry.,Venture - Series Unknown,"Chatsworth, California, United States","Greater Los Angeles Area, West Coast, Western US",Machina Labs is a mechanical and industrial engineering and manufacturing company that utilizes AI and machine learning.,2019-01-01,year,"Artificial Intelligence, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software","Artificial Intelligence, Industrial Engineering, Machine Learning, Mechanical Engineering, Robotics",2023-02-15,,,,16300000,USD,16300000,"Lockheed Martin Ventures, Innovation Endeavors, Congruent Ventures, Yamaha Motor Ventures & Laboratory Silicon Valley, Predictive VC",Private,,,,https://machinalabs.ai,,$1M to $10M,,,,,For Profit,https://twitter.com/machinalabs_,,https://www.linkedin.com/company/machina-labs,,,7,,,,,,,,,,,,,,,,,,,,1,Edward Mehr,11-50,4,,,,,Venture - Series Unknown,4,6,,,,,,,,,,,,,,,,,,,,,,,2022-12-27,,,455,454,,-0.3,-0.4,9.8,10,Management,5,,"5,649","3,815.67",-23.99%,470,226.39%,2,-7.04%,60%,137.25%,"2,700,049","362,636",15.51%,40,1,,,,,,,,,,,
CAST AI,https://www.crunchbase.com/organization/cast-ai,38000000,USD,38000000,Active,"CAST AI is a cloud optimization platform that reduces cloud costs, optimizes DevOps, and automates disaster recovery. CAST AI's intelligent optimization engine delivers a cost-efficient, high-performing, and resilient infrastructure for every Kubernetes workload.  CAST AI brings resource and cost optimization to Kubernetes using an AI-driven optimization engine that applies cluster changes based on real-time workload conditions. It selects the most cost-effective instance types and bin-packs pods for maximum utilization. The platform uses spot instances that offer 70 to 90% discounts and are automatically selected for any stateless workloads. CAST AI also sets pod scaling parameters to achieve optimal application performance while maximizing cost savings. Moreover, users get detailed cost reports to enable forecasting expenses at the level of the project, cluster, namespace, and deployment, down to individual microservices. CAST AI provides an opinionated Kubernetes implementation that hides the infrastructure complexities with automation. So DevOps engineers no longer have to deal with IaaS complexity and can finally focus on higher-order cloud-native abstractions and concepts. They can create and manage CAST AI components through API, CLI, and Terraform to automate their infrastructure lifecycle management. CAST AI also provides services for in-cluster observability (logging, tracing, and metrics) and built-in security (encryption at rest and in transit). CAST AI protects workloads against downtime with a Disaster Avoidance strategy based on cloud neutrality and multi-cloud capabilities. To achieve 100% uptime, CAST AI adopts the active approach to Disaster Recovery by stretching applications and data across multiple clouds so that a cloud failure never becomes a disaster. Underlying all of our technology is a custom multi-cloud networking layer that makes the magic happen.",Undisclosed,"North Miami Beach, Florida, United States","Greater Miami Area, East Coast, Southern US","CAST is an AI-driven cloud optimization platform that slashes cloud cost, optimizes DevOps, and automates disaster prevention.",2019-10-01,day,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software","Artificial Intelligence, Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Developer Platform, Developer Tools, SaaS",2023-03-01,20000000,USD,20000000,38000000,USD,38000000,"Samsung NEXT, Creandum, TA Ventures, Cota Capital, SAV (Scale Asia Ventures)",Private,,,,https://www.cast.ai/,Women Founded,,,,,,For Profit,https://twitter.com/cast_ai,https://www.facebook.com/CASTAi-112140013763781/,https://www.linkedin.com/company/cast-ai,hello@cast.ai,+1 917-880-8288,21,,,,,,,,,,,,,,,,,,,,6,"Augustinas Stirbis, Austeja Zymantaite, Laurent Gil, Leon Kuperman, Vilius Zukauskas, Yuri Frayman",11-50,4,,20000000,USD,20000000,Undisclosed,2,8,,,,,,,,,,,,,,,,,,,,,,,,,4,463,461,,4,8.8,7.2,11,"Engineering, Finance, Management, Marketing, Operations",15,,"22,557","26,621.17",-13.92%,404,-57.25%,1.66,33.25%,75%,-15.51%,"1,180,665","73,108",6.6%,83,,,,,,,,,,,,
BlueCargo,https://www.crunchbase.com/organization/bluecargo,14000000,USD,14000000,Active,BlueCargo is a predictive algorithm platform that brings visibility to optimize operations in seaport terminals. Their proprietary predictive algorithms streamline container management to increase terminal’s productivity while reducing operational costs and enhancing the quality of the service.,Seed,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","BlueCargo is a predictive algorithm platform that monitors, forecasts, and optimizes operations in container ports.",2018-01-01,year,"Artificial Intelligence, Data and Analytics, Software, Transportation","Analytics, Logistics, Predictive Analytics, SaaS, Shipping",2023-02-23,11000000,USD,11000000,14000000,USD,14000000,"Y Combinator, Lombardstreet Ventures, Four Cities Capital, Soma Capital, Cathexis Ventures",Private,,,,https://www.bluecargo.io/,"Women Founded, Women Led",$1M to $10M,,,,,For Profit,,,https://www.linkedin.com/company/bluecargo/,contact@bluecargo.io,,6,,,,,,,,,,,,,,,,,,,,3,"Alexandra Griffon, Arthus de Saint-Chaffray, Laura Theveniau",1-10,3,Seed,11000000,USD,11000000,Seed,2,15,,,,,,,,,,,,,,,,,,,,,,,,,1,468,466,,-0.8,9.8,9.8,10,"Engineering, Finance, Management, Operations, Sales",10,,"7,064","5,125.83",70.88%,57,83.87%,1.6,-19.46%,40.38%,-19.24%,"2,355,504","-1,031,109",-30.45%,34,,,,,,,,,,,,
RangeForce,https://www.crunchbase.com/organization/vequrity,38120000,USD,38120000,Active,RangeForce is a SaaS-based human cyber defense readiness platform that continuously develops defensive skills against the latest threats. It offers networks and servers in a cloud-based simulator that simulates cyberattacks and other threats in a sandbox environment.,Series B,"Manassas, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",RangeForce is a SaaS-based human cyber defense readiness platform that continuously develops defensive skills against the latest threats.,2019-05-22,day,"Education, Information Technology, Privacy and Security, Software","Cyber Security, Information Technology, SaaS, Security, Training",2023-03-06,20000000,USD,20000000,38120000,USD,38120000,"Techstars, Energy Impact Partners, Paladin Capital Group, Trind Ventures, Cisco Investments",Private,,,,https://rangeforce.com,,$1M to $10M,,,,,For Profit,https://twitter.com/RangeForce,https://www.facebook.com/rangeforceglobal/,https://www.linkedin.com/company/rangeforce/,info@rangeforce.com,877-716-4342,27,,,,,,,,,,,,,,,,,,,,4,"Jaanus Kink, Margus Ernits, Sten Reimann, Taavi Must",51-100,4,Early Stage Venture,20000000,USD,20000000,Series B,3,8,,,,,,,,,,,,,,,,,,,,,,,,,2,551,548,,-0.1,9.6,8.7,10,"Engineering, Finance, Information Technology, Management, Marketing, Medical & Science, Operations, Pro Services, Product, Sales",37,,"20,697","44,803.5",-10.23%,102,-88.08%,2.43,-24.05%,46.9%,-8.36%,"1,256,284","41,032",3.38%,85,,,23,0,9,,Scientific and technological services,,,,,
Writer,https://www.crunchbase.com/organization/writer,26000000,USD,26000000,Active,"Writer is an AI writing platform for teams. But unlike other GPT-powered applications, Writer's training happens on YOUR data — your best-performing blog posts, landing pages, ppc ads, email, and LinkedIn and Twitter social — and YOUR style guide.  The result is that your content powers growth programs at scale — with your best writers and editors empowered as content program scalers, and your employees empowered to write on-brand.  Using the Writer platform, companies like Dialpad, Emotive, and Adore Me have seen >100% growth in organic traffic, >20% improvements in CTRs, and 8x improvements in speed to market for content — all within their first quarter on Writer.  Writer is enterprise-grade with all of the security and data privacy features you'll need for organization-wide rollouts. Writer is deployed widely at leading companies like UnitedHealthcare, Accenture, Intuit, Twitter, UiPath, HubSpot, Spotify, and Deloitte.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Writer is the AI writing platform for teams. Customers include UnitedHealthcare, Accenture, Intuit, L'Oreal, UiPath, HubSpot, and Spotify.",2020-08-30,day,"Artificial Intelligence, Data and Analytics, Media and Entertainment, Software","Content, Natural Language Processing, Productivity Tools, Software, Virtual Assistant",2021-11-15,21000000,USD,21000000,26000000,USD,26000000,"Insight Partners, Bonfire Ventures, Scott Belsky, Jack Altman, Upfront Ventures",Private,,,,http://writer.com,"Women Founded, Women Led",$1M to $10M,,,,,For Profit,http://twitter.com/get_writer,https://www.facebook.com/WriterAI,http://www.linkedin.com/company/getwriter,marketing@writer.com,(415) 400-5299,20,,,,,,,,,,,,,,,,,,,,2,"May Habib, Waseem AlShikh",11-50,2,Early Stage Venture,21000000,USD,21000000,Series A,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,576,573,,-0.3,3.7,8,9,"Engineering, Finance, Management, Marketing, Operations, Product, Sales, Support",16,,"5,869,760","3,479,244.17",45.24%,998,66.33%,1.29,-4.1%,82.78%,3.53%,"16,919","-6,409",-27.47%,47,,,23,1,1,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,
Axion Ray,https://www.crunchbase.com/organization/axion-d1cc,7500000,USD,7500000,Active,"Axion Ray is an integrity intelligence platform that automates engineering and quality analytics for manufacturing teams. In real time, it extracts actionable insights from unstructured manufacturing data. Its technology detects engineering issues months in advance, allowing businesses to intervene to avoid losses from recalls. The company collaborates with manufacturers from a variety of industries to identify safety and quality risks gleaned from service networks, dealerships, connected sensors, production, supplier management, and other data sources.",Seed,"New Castle, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",Axion Ray is an integrity intelligence platform that automates engineering and quality analytics for manufacturing teams.,2021-01-01,year,"Artificial Intelligence, Data and Analytics, Manufacturing, Science and Engineering, Software","Analytics, Artificial Intelligence, Business Intelligence, Machine Learning, Manufacturing",2023-02-15,7500000,USD,7500000,7500000,USD,7500000,"The Boeing Company, Inspired Capital Partners, Amplo, Aerospace Xelerated, Tinicum Venture Partners",Private,,,,https://www.axionray.com,,,,,,,For Profit,,,https://www.linkedin.com/company/axion-ray,contact@axionray.com,,6,,,,,,,,,,,,,,,,,,,,2,"Daniel First, Rebecca Trachtenberg",11-50,2,Seed,7500000,USD,7500000,Seed,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,599,596,,-1.5,7.1,10,10,,,,"3,861","2,211.17",6.45%,0,,1,0%,100%,0%,"3,387,601","-249,152",-6.85%,34,,,,,,,,,,,,
Chaos Labs,https://www.crunchbase.com/organization/chaos-labs,20000000,USD,20000000,Active,"Chaos Labs is a fully automated on-chain economic security system that allows crypto protocols to optimize risk management and capital efficiency while safeguarding user funds. Chaos Labs offers a more secure and safe operating environment for crypto protocols. Chaos Labs uses technology and risk management expertise to help protocols navigate the often volatile crypto markets and make informed decisions. The platform is currently available for protocols on the Ethereum network, with plans to expand to other blockchains such as Terra, NEAR, and Polygon in the future.",Seed,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Chaos Labs is a cloud platform that allows teams to build high-fidelity agent and scenario-based simulations on mainnet forks.,2022-01-01,year,"Hardware, Internet Services, Other, Professional Services, Software","Blockchain, Cloud Infrastructure, Risk Management, Software, Web Development",2023-02-21,20000000,USD,20000000,20000000,USD,20000000,"Uniswap, Blockdaemon, Polygon, OpenSea, General Catalyst",Private,,,,https://chaoslabs.xyz,,,,,,,For Profit,https://twitter.com/_chaos_labs,,https://www.linkedin.com/company/chaos-labs-xyz,support@chaoslabs.xyz,,4,,,,,,,,,,,,,,,,,,,,1,Omer Goldberg,11-50,1,Seed,20000000,USD,20000000,Seed,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,600,597,,-0.1,10,10,10,,,,"11,892","6,149.5",198.94%,156,,1.41,40.79%,78.92%,-21.08%,"1,716,474","-1,739,068",-50.33%,11,,,,0,0,,Scientific and technological services,,,,,
TerraScale,https://www.crunchbase.com/organization/terrascale,8675000,USD,8675000,Active,"TerraScale Inc. is a 5X award winning  green development, infrastructure and finance firm formed with the goal of accelerating the transition to a more sustainable planet through global green infrastructure and technology deployment across the full project lifecycle. By combining project financing with project development; we make large scale deployment of sustainable infrastructure a reality.  TerraScale is advised by Goldman Sachs.",Seed,"Santa Monica, California, United States","Greater Los Angeles Area, West Coast, Western US",Accelerating the transition to a more sustainable planet through global green infrastructure deployment.,2020-03-23,day,"Administrative Services, Consumer Goods, Energy, Financial Services, Other, Real Estate, Science and Engineering, Sustainability","Civil Engineering, Clean Energy, CleanTech, Energy Efficiency, Energy Storage, Financial Services, Green Building, Green Consumer Goods, GreenTech, Project Management",2023-01-13,,,,8675000,USD,8675000,"Danny Hayes, Soheila Yalpani, Adriant Harrison, Dr. Umer Sayeed- Shah, Professor, “Emeritus” Robert Dibble",Private,,,,http://terrascale.org,Women Founded,,,,,,For Profit,https://twitter.com/terrascaleinc,https://m.facebook.com/TerraScaleInc,https://www.linkedin.com/company/terra-scale,contact@terrascale.org,,93,,,,,,,,,,,,,,,,,,,,3,"Danny Hayes, Philip Eggen, Soheila Yalpani",11-50,8,Seed,,,,Seed,6,7,Made Acquisitions,2,,,,,,,,,,,,,,,,,,,,,,,,612,609,,-3.5,-3.7,9.8,11,"Management, Operations",4,,"4,154",,110.44%,"1,145","4,670.83%",5.67,88.89%,33.33%,107.19%,"3,281,970","-1,899,443",-36.66%,12,,,,,,,,,,,,
Comun,https://www.crunchbase.com/organization/comun,4500000,USD,4500000,Active,"Comun offers secure online banking with no additional costs. Rather than assisting people in transforming their labor into financial security, they provide everyone with challenges and headaches. The major financial institutions support them, ensuring the safety and security of customer money.",Seed,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Comun is a mission to enable upward mobility.,2021-12-09,day,,,2023-02-14,4500000,USD,4500000,4500000,USD,4500000,"FJ Labs, South Park Commons, Costanoa Ventures, ANIMO Ventures",Private,,,,https://en.comun.app,,,,,,,For Profit,https://twitter.com/comunbanking,https://www.facebook.com/comunbanking,https://www.linkedin.com/company/comun-banking,,,11,,,,,,,,,,,,,,,,,,,,,,11-50,2,Seed,4500000,USD,4500000,Seed,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,637,634,,-0.4,7.4,10,1,,,,,,,,,,,,,,,,,3,"10,761",,0,0,,Scientific and electric apparatus and instruments,,,,,
Robot Ventures,https://www.crunchbase.com/organization/robot-ventures,1000000,USD,1000000,Active,"Robot Ventures is a (pre-)seed investor in exceptional fintech and blockchain companies led by founders with big ambitions, and contrarian worldviews.",Seed,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Robot Ventures is a (pre-)seed investor in exceptional fintech and blockchain companies.,2019-01-01,year,"Financial Services, Lending and Investments, Other","Blockchain, FinTech, Venture Capital",2019-04-10,1000000,USD,1000000,1000000,USD,1000000,"Bain Capital, Xpring",Private,,,,https://robvc.com/,,Less than $1M,,,,,,https://twitter.com/robotventures,,,sayhello@robvc.com,,7,,,Seed,Venture Capital,55,51,2,1,1,1,,,,,,,,,,1,Robert Leshner,,1,Seed,1000000,USD,1000000,Seed,,2,,,,,,,,,,,,,,,,,,,,,,,,,,652,649,,7.4,9.3,8.9,10,,,,"2,642","2,377",-11.58%,0,,1,0%,100%,0%,"4,225,844","178,457",4.41%,15,,,,,,,,,,,,
OpenLoop,https://www.crunchbase.com/organization/openloop,26620000,USD,26620000,Active,"OpenLoop is an online hiring platform that matches physicians and other healthcare providers with hiring institutions within their region. The platform innovations of the company simplify telehealth by gathering all current employment demands, centralizing the provider database, and contacting healthcare institutions based on their region and specialty when opportunities exist, allowing hospitals and other recruiters to fill staff shortages. OpenLoop was established on January 1, 2020 in Des Moines, Iowa.",Series A,"Des Moines, Iowa, United States",Midwestern US,OpenLoop is an online hiring platform that matches physicians and other healthcare providers with hiring institutions within their region.,2020-01-01,day,"Administrative Services, Health Care, Other","Health Care, Medical, Service Industry, Staffing Agency",2023-03-16,15000000,USD,15000000,26620000,USD,26620000,"Techstars, Panoramic Ventures, Next Level Ventures, ManchesterStory Group, Primetime Partners",Private,,,,https://openloophealth.com,,$1M to $10M,,,,,For Profit,https://twitter.com/openloophealth,https://www.facebook.com/openloophealth/,https://www.linkedin.com/company/openloophealth/,media@openloophealth.com,641-780-1114,9,,,,,,,,,,,,,,,,,,,,3,"Christian Williams, Jon Lensing, Matt Grossmann",11-50,5,Early Stage Venture,15000000,USD,15000000,Series A,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,665,662,,9.2,8.9,9.6,8,"Engineering, Finance, Human Resources, Management, Marketing, Medical & Science, Operations, Product, Sales",21,,"43,316","19,073.33",29.82%,35,"3,400%",1.2,17.08%,80.08%,-17.93%,"738,555","-165,529",-18.31%,52,1,279,,,,,,,,,,
Wingspan,https://www.crunchbase.com/organization/wingspan,17500000,USD,17500000,Active,"Wingspan is a platform for freelancers to manage income, benefits, and taxes. Its platform sends invoices with tools that make receiving payments easier, automatically handles bookkeeping and expenses, and finds tax deductions.",Series A,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Wingspan is a platform for freelancers to manage income, benefits, and taxes.",2019-01-01,year,"Financial Services, Information Technology, Payments","Financial Services, FinTech, Information Technology, Payments",2023-03-16,14000000,USD,14000000,17500000,USD,17500000,"Airbnb, Andreessen Horowitz, Long Journey Ventures, Ludlow Ventures, 186 Ventures",Private,,,,https://www.wingspan.app,,,,,,,For Profit,https://twitter.com/WingspanHQ,https://www.facebook.com/WingspanCollective,https://www.linkedin.com/company/wingspancollective,,,9,,,,,,,,,,,,,,,,,,,,1,Anthony Mironov,11-50,4,Early Stage Venture,14000000,USD,14000000,Series A,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,728,723,,9.6,9.7,9.8,11,"Finance, Management, Operations, Product",6,,"19,620","18,486",-2.6%,78,-78.57%,1.76,22.83%,53.29%,-16.66%,"1,302,492","-11,914",-0.91%,63,,,16,,,,,,,,,
